Process ID: 23280
Status: dead
Hyperparameters: {"step_size": 0.001, "batch_size": 128, "rounds": 600, "dataset_name": "mnist", "cuda_core": -1, "training_mode": "entire", "report_sampling_rate": 5, "measurement_sampling_rate": 399, "model": "cnn", "config": [32], "K": 1, "communication_delay": 0, "n_workers": 1, "beta": 0.5, "gamma": 1.0, "prox_lambda": 0.0, "block_accuracy_factor": 0.5, "reports_dir": "mnist_entire_long"}

[2025-11-24 16:50:08] Frame initialization took 8.23 seconds
[2025-11-24 16:50:08] Total number of parameters: 10,474
[2025-11-24 16:50:08] Started the training loop
[2025-11-24 16:50:08] Total epochs: 600
[2025-11-24 16:50:09] Starting measurement units
[2025-11-24 16:50:09] Finished measurement units , took 0.00 seconds
[2025-11-24 16:50:46] Time 0.235: Energy = 1.8040984869003296, Accuracy = 0.31, ComputeTimeShare = 0.0
[2025-11-24 16:50:47] Time 0.24: Energy = 1.792528748512268, Accuracy = 0.31, ComputeTimeShare = 0.0
[2025-11-24 16:50:48] Time 0.245: Energy = 1.787040114402771, Accuracy = 0.31, ComputeTimeShare = 0.0
[2025-11-24 16:50:49] Time 0.25: Energy = 1.778668999671936, Accuracy = 0.32, ComputeTimeShare = 0.0
[2025-11-24 16:50:49] Time 0.255: Energy = 1.773969054222107, Accuracy = 0.33, ComputeTimeShare = 0.0
[2025-11-24 16:50:50] Time 0.26: Energy = 1.7635624408721924, Accuracy = 0.31, ComputeTimeShare = 0.0
[2025-11-24 16:50:51] Time 0.265: Energy = 1.7638566493988037, Accuracy = 0.36, ComputeTimeShare = 0.0
[2025-11-24 16:50:51] Time 0.27: Energy = 1.7554329633712769, Accuracy = 0.31, ComputeTimeShare = 0.0
[2025-11-24 16:50:52] Time 0.275: Energy = 1.739193081855774, Accuracy = 0.34, ComputeTimeShare = 0.0
[2025-11-24 16:50:53] Time 0.28: Energy = 1.7474421262741089, Accuracy = 0.32, ComputeTimeShare = 0.0
[2025-11-24 16:50:54] Time 0.285: Energy = 1.7307848930358887, Accuracy = 0.32, ComputeTimeShare = 0.0
[2025-11-24 16:50:54] Time 0.29: Energy = 1.72059965133667, Accuracy = 0.33, ComputeTimeShare = 0.0
[2025-11-24 16:50:55] Time 0.295: Energy = 1.7130088806152344, Accuracy = 0.33, ComputeTimeShare = 0.0
[2025-11-24 16:50:56] Time 0.3: Energy = 1.7279757261276245, Accuracy = 0.34, ComputeTimeShare = 0.0
[2025-11-24 16:50:56] Time 0.305: Energy = 1.7076560258865356, Accuracy = 0.36, ComputeTimeShare = 0.0
[2025-11-24 16:50:57] Time 0.31: Energy = 1.7237569093704224, Accuracy = 0.34, ComputeTimeShare = 0.0
[2025-11-24 16:50:58] Time 0.315: Energy = 1.7154412269592285, Accuracy = 0.34, ComputeTimeShare = 0.0
[2025-11-24 16:50:59] Time 0.32: Energy = 1.703420639038086, Accuracy = 0.34, ComputeTimeShare = 0.0
[2025-11-24 16:50:59] Time 0.325: Energy = 1.6942286491394043, Accuracy = 0.33, ComputeTimeShare = 0.0
[2025-11-24 16:51:00] Time 0.33: Energy = 1.6941605806350708, Accuracy = 0.35, ComputeTimeShare = 0.0
[2025-11-24 16:51:01] Time 0.335: Energy = 1.6897220611572266, Accuracy = 0.35, ComputeTimeShare = 0.0
[2025-11-24 16:51:01] Time 0.34: Energy = 1.6960334777832031, Accuracy = 0.33, ComputeTimeShare = 0.0
[2025-11-24 16:51:02] Time 0.345: Energy = 1.665999412536621, Accuracy = 0.37, ComputeTimeShare = 0.0
[2025-11-24 16:51:03] Time 0.35: Energy = 1.675248384475708, Accuracy = 0.35, ComputeTimeShare = 0.0
[2025-11-24 16:51:04] Time 0.355: Energy = 1.6552568674087524, Accuracy = 0.34, ComputeTimeShare = 0.0
[2025-11-24 16:51:04] Time 0.36: Energy = 1.6461882591247559, Accuracy = 0.37, ComputeTimeShare = 0.0
[2025-11-24 16:51:05] Time 0.365: Energy = 1.6601221561431885, Accuracy = 0.35, ComputeTimeShare = 0.0
[2025-11-24 16:51:06] Time 0.37: Energy = 1.6683568954467773, Accuracy = 0.36, ComputeTimeShare = 0.0
[2025-11-24 16:51:06] Time 0.375: Energy = 1.6547297239303589, Accuracy = 0.35, ComputeTimeShare = 0.0
[2025-11-24 16:51:07] Time 0.38: Energy = 1.6586917638778687, Accuracy = 0.33, ComputeTimeShare = 0.0
[2025-11-24 16:51:08] Time 0.385: Energy = 1.6429327726364136, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:08] Time 0.39: Energy = 1.6294225454330444, Accuracy = 0.39, ComputeTimeShare = 0.0
[2025-11-24 16:51:09] Time 0.395: Energy = 1.6378867626190186, Accuracy = 0.37, ComputeTimeShare = 0.0
[2025-11-24 16:51:10] Starting measurement units
[2025-11-24 16:51:10] Finished measurement units , took 0.00 seconds
[2025-11-24 16:51:10] Time 0.4: Energy = 1.6196295022964478, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:11] Time 0.405: Energy = 1.6252121925354004, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:11] Time 0.41: Energy = 1.6344008445739746, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:12] Time 0.415: Energy = 1.6252812147140503, Accuracy = 0.39, ComputeTimeShare = 0.0
[2025-11-24 16:51:13] Time 0.42: Energy = 1.602590799331665, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:14] Time 0.425: Energy = 1.5962375402450562, Accuracy = 0.39, ComputeTimeShare = 0.0
[2025-11-24 16:51:14] Time 0.43: Energy = 1.5921752452850342, Accuracy = 0.41, ComputeTimeShare = 0.0
[2025-11-24 16:51:15] Time 0.435: Energy = 1.5896631479263306, Accuracy = 0.41, ComputeTimeShare = 0.0
[2025-11-24 16:51:16] Time 0.44: Energy = 1.5873944759368896, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:16] Time 0.445: Energy = 1.5883649587631226, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:17] Time 0.45: Energy = 1.5858982801437378, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:18] Time 0.455: Energy = 1.5808846950531006, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:18] Time 0.46: Energy = 1.5753685235977173, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:19] Time 0.465: Energy = 1.5902070999145508, Accuracy = 0.37, ComputeTimeShare = 0.0
[2025-11-24 16:51:20] Time 0.47: Energy = 1.5788123607635498, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:21] Time 0.475: Energy = 1.5751155614852905, Accuracy = 0.37, ComputeTimeShare = 0.0
[2025-11-24 16:51:21] Time 0.48: Energy = 1.5647530555725098, Accuracy = 0.39, ComputeTimeShare = 0.0
[2025-11-24 16:51:22] Time 0.485: Energy = 1.5641988515853882, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:23] Time 0.49: Energy = 1.551599383354187, Accuracy = 0.42, ComputeTimeShare = 0.0
[2025-11-24 16:51:23] Time 0.495: Energy = 1.55948007106781, Accuracy = 0.39, ComputeTimeShare = 0.0
[2025-11-24 16:51:24] Time 0.5: Energy = 1.5551517009735107, Accuracy = 0.41, ComputeTimeShare = 0.0
[2025-11-24 16:51:25] Time 0.505: Energy = 1.5738576650619507, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:26] Time 0.51: Energy = 1.5652440786361694, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:26] Time 0.515: Energy = 1.5488638877868652, Accuracy = 0.38, ComputeTimeShare = 0.0
[2025-11-24 16:51:27] Time 0.52: Energy = 1.5483022928237915, Accuracy = 0.39, ComputeTimeShare = 0.0
[2025-11-24 16:51:28] Time 0.525: Energy = 1.5490096807479858, Accuracy = 0.41, ComputeTimeShare = 0.0
[2025-11-24 16:51:29] Time 0.53: Energy = 1.5571222305297852, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:29] Time 0.535: Energy = 1.5456136465072632, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:30] Time 0.54: Energy = 1.5274887084960938, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:31] Time 0.545: Energy = 1.5253902673721313, Accuracy = 0.41, ComputeTimeShare = 0.0
